venue,innings,batting_team,bowling_team,team1avgscore,team2avgecoscore,team1vsteam2avgscore,team1venueavgscore,team2venueavgecoscore,venueavgscore,Totalppscore
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,43,48,47,62,49,49,62
Brabourne Stadium,1,Mumbai Indians,Sunrisers Hyderabad,45,43,45,55,53,50,53
Brabourne Stadium,2,Sunrisers Hyderabad,Mumbai Indians,48,43,45,40,46,51,40
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,46,45,47,69,39,40,69
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,49,46,54,55,54,55,54
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,41,46,44,41,53,41,53
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,41,45,41,38,55,55,38
Vidarbha Cricket Association Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,47,44,48,52,52,52,52
Vidarbha Cricket Association Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,44,43,47,48,48,48,48
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,46,48,56,46,50,49,46
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,47,43,41,48,42,49,42
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,44,46,46,42,70,42,70
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,46,44,48,52,41,44,52
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,41,45,39,42,50,42,50
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,49,46,50,44,42,42,44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,41,43,37,43,46,44,46
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48,46,46,32,46,44,32
Punjab Cricket Association Stadium,2,Punjab Kings,Mumbai Indians,46,43,44,53,56,48,56
Punjab Cricket Association Stadium,1,Mumbai Indians,Punjab Kings,46,47,43,51,44,49,51
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,46,49,60,45,44,60
Vidarbha Cricket Association Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,47,44,45,55,55,50,55
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,41,46,35,43,48,45,48
Vidarbha Cricket Association Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,47,48,50,37,37,51,37
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,46,44,39,47,43,44,47
Arun Jaitley Stadium,1,Delhi Capitals,Punjab Kings,49,47,47,55,45,54,45
Arun Jaitley Stadium,2,Punjab Kings,Delhi Capitals,47,45,55,39,53,54,39
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,44,43,41,46,33,44,33
Vidarbha Cricket Association Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,41,44,39,37,51,48,37
Vidarbha Cricket Association Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,47,46,43,44,35,45,35
Brabourne Stadium,2,Delhi Capitals,Mumbai Indians,49,43,49,68,45,50,68
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,47,46,43,48,67,49,67
Brabourne Stadium,1,Mumbai Indians,Delhi Capitals,46,45,47,55,44,51,44
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,42,48,49,22,50,50,22
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,41,44,39,59,43,44,59
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,44,46,39,44,30,44,30
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,47,45,53,49,39,48,39
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,49,47,54,33,48,48,33
Himachal Pradesh Cricket Association Stadium,2,Sunrisers Hyderabad,Punjab Kings,47,47,49,45,45,45,45
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Sunrisers Hyderabad,47,44,45,43,43,43,43
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,44,47,47,46,42,42,46
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42,45,37,42,42,42,42
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,46,45,40,34,46,45,34
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,41,43,44,43,34,44,34
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Chennai Super Kings,46,47,40,49,49,44,49
Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Punjab Kings,47,47,48,49,49,45,49
Arun Jaitley Stadium,2,Delhi Capitals,Sunrisers Hyderabad,49,44,47,54,39,53,39
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Delhi Capitals,46,45,46,38,52,53,38
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,42,43,35,42,44,42,44
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,45,47,47,42,42,42,42
Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,45,45,39,40,54,45,54
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,41,43,42,44,48,45,44
Dr DY Patil Sports Academy,1,Chennai Super Kings,Sunrisers Hyderabad,47,43,47,39,39,45,39
Dr DY Patil Sports Academy,2,Sunrisers Hyderabad,Chennai Super Kings,46,47,48,57,23,45,23
Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Sunrisers Hyderabad,41,43,38,32,39,43,32
Dr DY Patil Sports Academy,1,Sunrisers Hyderabad,Royal Challengers Bangalore,46,45,42,48,27,43,27
Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,47,43,41,40,47,42,39
Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,45,46,54,43,32,42,32
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,42,46,43,41,47,48,51
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,47,46,48,48,56,48,45
Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,60,45,60,60,60,60,60
Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,41,48,48,48,48,48,48
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,45,45,49,39,44,44,44
Rajiv Gandhi International Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,44,43,47,31,49,44,31
Dr DY Patil Sports Academy,2,Pune Warriors,Punjab Kings,44,47,44,44,44,41,44
Arun Jaitley Stadium,1,Delhi Capitals,Mumbai Indians,49,43,52,53,56,52,38
Dr DY Patil Sports Academy,1,Punjab Kings,Pune Warriors,46,36,36,36,36,41,36
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Capitals,45,44,46,63,51,51,31
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,42,43,36,42,36,42,46
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,45,46,49,49,42,42,30
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,44,44,37,43,57,44,57
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,45,45,41,36,45,44,40
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,48,45,45,30,45,44,30
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,41,43,42,43,35,44,24
Punjab Cricket Association Stadium,2,Punjab Kings,Chennai Super Kings,46,46,42,53,65,49,65
Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,44,44,44,44,44,41,44
Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,37,37,37,37,37,41,37
Punjab Cricket Association Stadium,1,Chennai Super Kings,Punjab Kings,47,47,48,31,45,49,31
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,45,45,40,40,41,43,41
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,41,43,38,28,47,43,28
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,42,44,38,62,43,44,62
Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,48,42,45,45,34,44,45
Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,45,46,44,64,44,44,44
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,44,46,47,44,31,44,31
Rajiv Gandhi International Stadium,2,Punjab Kings,Sunrisers Hyderabad,47,43,44,62,44,42,62
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Punjab Kings,45,46,48,40,48,43,48
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,46,45,48,48,50,48,45
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,40,46,42,37,47,47,33
Dr DY Patil Sports Academy,2,Delhi Capitals,Pune Warriors,48,36,65,65,36,41,65
Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Capitals,44,44,62,44,62,42,62
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,44,46,45,44,41,42,36
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42,45,41,43,37,42,26
Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,47,46,49,49,49,54,49
Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,46,45,42,42,42,52,42
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Delhi Capitals,45,45,44,54,50,51,43
Arun Jaitley Stadium,2,Delhi Capitals,Sunrisers Hyderabad,48,43,45,52,43,50,38
Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,47,45,45,45,41,41,45
Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,42,44,37,42,37,41,37
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,50,42,33,33,36,44,33
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,45,46,32,59,32,43,32
Punjab Cricket Association Stadium,1,Punjab Kings,Rajasthan Royals,47,44,48,54,63,49,77
Punjab Cricket Association Stadium,2,Rajasthan Royals,Punjab Kings,43,46,50,45,44,50,45
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,40,45,37,29,41,41,57
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,45,51,41,51,42,48
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,46,42,41,31,36,42,44
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,44,46,51,53,56,42,34
Arun Jaitley Stadium,1,Delhi Capitals,Punjab Kings,48,46,46,51,56,50,69
Arun Jaitley Stadium,2,Punjab Kings,Delhi Capitals,48,45,52,56,49,51,46
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,44,43,46,56,46,43,56
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,45,42,44,41,41,44,41
Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,43,43,38,43,38,44,38
Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,47,45,32,32,45,44,32
MA Chidambaram Stadium,1,Chennai Super Kings,Pune Warriors,46,42,45,48,45,47,45
MA Chidambaram Stadium,2,Pune Warriors,Chennai Super Kings,45,46,40,40,46,47,40
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,41,45,41,46,49,50,65
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,49,45,54,52,56,51,42
Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,44,46,37,50,32,43,37
Nehru Stadium,2,Kochi Tuskers Kerala,Sunrisers Hyderabad,44,43,29,54,29,49,29
Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,46,43,28,40,46,42,28
Nehru Stadium,1,Sunrisers Hyderabad,Kochi Tuskers Kerala,45,42,20,20,45,45,20
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,42,45,41,42,50,51,42
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,48,46,49,51,40,50,40
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,41,40,57,41,57,43,57
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,43,45,42,42,45,43,42
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,44,45,41,38,44,43,31
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,42,47,45,42,52,42,45
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,48,46,50,58,42,42,40
Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Capitals,42,45,37,46,37,41,37
Nehru Stadium,1,Delhi Capitals,Kochi Tuskers Kerala,48,39,34,34,36,40,34
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,44,46,44,53,46,47,64
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,43,44,49,49,43,43,49
MA Chidambaram Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,46,43,45,48,34,47,34
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,43,42,34,42,34,43,34
Arun Jaitley Stadium,2,Kochi Tuskers Kerala,Delhi Capitals,41,45,65,65,49,50,65
Arun Jaitley Stadium,1,Delhi Capitals,Kochi Tuskers Kerala,48,38,42,51,42,50,42
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,44,47,44,50,51,42,35
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,47,42,46,39,37,41,24
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,45,45,47,41,41,44,41
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,42,43,38,40,47,44,40
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,43,46,49,64,47,47,47
Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,44,41,45,41,41,42,45
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,46,45,49,47,65,47,43
Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,43,42,30,46,46,42,30
Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,42,38,43,43,36,39,43
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Delhi Capitals,45,45,44,41,43,44,43
Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,44,45,35,43,35,40,35
Rajiv Gandhi International Stadium,2,Delhi Capitals,Sunrisers Hyderabad,48,43,44,25,46,43,25
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,41,46,45,42,43,43,48
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,47,45,44,51,44,44,38
Wankhede Stadium,1,Mumbai Indians,Delhi Capitals,44,45,44,48,50,40,50
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,42,46,45,42,40,42,33
Wankhede Stadium,2,Delhi Capitals,Mumbai Indians,47,42,50,23,35,41,23
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,41,39,79,43,79,43,79
M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,43,45,49,49,44,44,49
Punjab Cricket Association Stadium,2,Pune Warriors,Punjab Kings,42,46,40,40,44,50,40
Punjab Cricket Association Stadium,1,Punjab Kings,Pune Warriors,47,42,34,55,34,49,34
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,46,44,48,51,43,42,51
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,43,46,48,42,48,43,48
Rajiv Gandhi International Stadium,2,Pune Warriors,Sunrisers Hyderabad,42,42,52,52,45,43,52
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Pune Warriors,45,41,50,41,50,43,50
Punjab Cricket Association Stadium,1,Punjab Kings,Mumbai Indians,46,41,43,54,56,49,39
Punjab Cricket Association Stadium,2,Mumbai Indians,Punjab Kings,44,46,43,45,43,48,33
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,42,45,42,41,44,43,66
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43,45,37,42,40,44,43
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,47,46,51,48,47,47,52
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,46,45,51,47,43,47,42
Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Punjab Kings,43,46,61,61,61,61,61
Holkar Cricket Stadium,2,Punjab Kings,Kochi Tuskers Kerala,46,42,49,49,49,49,49
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,42,45,40,45,37,44,65
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,45,50,60,44,45,33
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,45,41,44,32,34,40,32
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,44,42,47,48,26,40,26
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,46,45,51,46,43,46,43
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,47,46,50,42,47,45,42
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,43,43,32,32,32,55,32
Dr DY Patil Sports Academy,2,Sunrisers Hyderabad,Pune Warriors,44,42,56,44,42,41,56
Dr DY Patil Sports Academy,1,Pune Warriors,Sunrisers Hyderabad,43,42,39,43,37,42,39
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Punjab Kings,43,46,46,34,45,45,34
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Royal Challengers Bangalore,46,44,43,45,30,43,30
MA Chidambaram Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,46,42,41,46,41,47,41
MA Chidambaram Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,45,46,40,40,47,47,40
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,42,43,44,44,44,42,44
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,42,45,28,42,28,42,28
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,43,41,39,52,33,39,52
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,43,45,39,46,26,40,26
Himachal Pradesh Cricket Association Stadium,1,Sunrisers Hyderabad,Punjab Kings,45,46,48,58,42,41,58
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Sunrisers Hyderabad,46,42,47,41,45,43,45
Arun Jaitley Stadium,1,Delhi Capitals,Pune Warriors,47,43,32,50,32,50,32
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45,44,47,32,44,45,56
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,43,45,46,40,42,42,52
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,42,41,36,41,42,42,46
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,43,46,41,46,41,45,44
Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43,46,41,43,49,39,43
Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,46,44,48,35,25,39,25
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,43,45,47,44,62,39,62
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,42,41,38,25,35,39,25
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43,41,40,35,47,46,68
MA Chidambaram Stadium,2,Mumbai Indians,Royal Challengers Bangalore,44,44,41,49,48,47,48
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45,44,46,46,48,47,56
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,43,46,41,43,47,47,47
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,44,46,49,48,47,47,53
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,45,41,41,47,54,47,42
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,47,46,47,40,42,42,48
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,41,45,41,42,42,42,40
Sawai Mansingh Stadium,1,Rajasthan Royals,Punjab Kings,43,46,49,42,61,44,57
Sawai Mansingh Stadium,2,Punjab Kings,Rajasthan Royals,46,45,52,53,45,44,45
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,41,41,31,30,34,39,30
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,44,42,38,45,27,39,27
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,43,45,44,46,41,45,46
M Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,47,44,52,67,44,45,46
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,45,46,47,45,45,45,45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,45,42,44,44,44,44,44
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,40,46,42,38,38,38,38
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,43,46,44,43,38,44,37
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,41,45,39,56,45,44,27
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,45,41,42,45,45,44,45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,43,42,45,29,29,44,29
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,41,44,48,51,44,45,60
Arun Jaitley Stadium,2,Delhi Capitals,Chennai Super Kings,47,46,51,49,51,50,50
Arun Jaitley Stadium,1,Chennai Super Kings,Delhi Capitals,45,45,49,57,50,50,41
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,43,45,43,46,46,45,20
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,43,44,37,44,27,38,54
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,43,41,41,55,34,39,44
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,43,46,42,44,47,47,55
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,45,45,47,46,49,47,52
Punjab Cricket Association Stadium,2,Punjab Kings,Pune Warriors,46,41,35,53,38,48,38
Punjab Cricket Association Stadium,1,Pune Warriors,Punjab Kings,40,46,40,29,43,48,29
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,43,45,43,41,43,42,45
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,41,44,38,41,33,42,36
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,39,46,38,56,56,56,56
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,45,41,36,43,43,47,43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,43,44,46,44,58,45,54
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,41,46,45,41,49,42,48
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,43,45,38,38,45,45,43
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,46,45,49,52,43,42,26
Wankhede Stadium,2,Delhi Capitals,Mumbai Indians,47,41,46,25,35,39,41
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,42,45,43,62,43,62
M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,40,45,58,58,45,45,58
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,45,44,48,57,44,44,57
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,43,41,42,45,42,45,42
Punjab Cricket Association Stadium,2,Kolkata Knight Riders,Punjab Kings,41,46,45,40,42,47,53
Punjab Cricket Association Stadium,1,Punjab Kings,Kolkata Knight Riders,45,45,46,52,45,47,45
MA Chidambaram Stadium,2,Pune Warriors,Chennai Super Kings,41,46,44,53,47,47,53
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Delhi Capitals,45,45,44,50,50,49,50
MA Chidambaram Stadium,1,Chennai Super Kings,Pune Warriors,45,41,38,47,41,47,41
Arun Jaitley Stadium,2,Delhi Capitals,Sunrisers Hyderabad,47,42,42,49,41,49,34
Punjab Cricket Association Stadium,1,Punjab Kings,Royal Challengers Bangalore,45,45,41,52,41,47,41
Punjab Cricket Association Stadium,2,Royal Challengers Bangalore,Punjab Kings,43,46,44,50,42,47,36
Arun Jaitley Stadium,1,Pune Warriors,Delhi Capitals,42,45,51,51,50,49,51
Arun Jaitley Stadium,2,Delhi Capitals,Pune Warriors,46,41,48,49,49,49,49
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,45,45,48,46,58,47,45
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,44,46,48,58,47,47,41
Wankhede Stadium,2,Punjab Kings,Mumbai Indians,45,41,42,34,35,39,48
Barabati Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,42,42,38,42,37,44,42
Barabati Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,45,45,46,51,39,44,39
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,43,46,41,44,46,39,39
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,44,45,39,44,41,44,48
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,43,45,47,49,45,44,37
Subrata Roy Sahara Stadium,2,Delhi Capitals,Pune Warriors,46,41,48,61,61,45,61
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Capitals,42,45,56,47,28,49,28
Punjab Cricket Association Stadium,1,Punjab Kings,Mumbai Indians,45,41,43,51,50,47,44
Punjab Cricket Association Stadium,2,Mumbai Indians,Punjab Kings,43,46,41,41,42,47,38
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,45,42,53,50,52,45,50
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,42,42,45,40,44,46,44
Arun Jaitley Stadium,1,Delhi Capitals,Mumbai Indians,47,41,46,49,50,49,54
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Capitals,43,45,45,52,50,49,49
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,45,46,46,46,46,47,48
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,45,49,41,50,42,46
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,45,46,44,36,47,47,43
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,43,44,40,38,42,42,35
Arun Jaitley Stadium,1,Delhi Capitals,Rajasthan Royals,47,45,43,49,53,49,42
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Capitals,44,45,39,39,50,49,40
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,45,42,43,38,36,39,38
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,43,42,43,44,31,39,31
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,45,44,47,46,52,47,43
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,42,46,43,44,47,47,35
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,47,44,43,38,44,44,61
